pitch_type,video_link,category
FF,https://baseballsavant.mlb.com/sporty-videos?playId=2199383e-6c40-321f-bb05-428f003ed4d7,Fastball
SL,https://baseballsavant.mlb.com/sporty-videos?playId=682cffaf-e022-335e-b643-7b1896db00f5,Breaking
CH,https://baseballsavant.mlb.com/sporty-videos?playId=9a68f904-eb9f-3e9a-8f01-95de501ac81b,Offspeed
SL,https://baseballsavant.mlb.com/sporty-videos?playId=94a11c5a-6e51-3bb1-a895-7dddf2d05fda,Breaking
SL,https://baseballsavant.mlb.com/sporty-videos?playId=8a0bbd56-3518-3fa8-90c1-a2d861045969,Breaking
CH,https://baseballsavant.mlb.com/sporty-videos?playId=d2c3d8d5-4aab-38f4-b8b9-36d3151a67e7,Offspeed
CU,https://baseballsavant.mlb.com/sporty-videos?playId=64be6d44-3fd5-3dcd-bfc3-eaef84ded344,Breaking
FF,https://baseballsavant.mlb.com/sporty-videos?playId=3752ae8f-28e9-335b-88b6-7636007ed5bd,Fastball
CH,https://baseballsavant.mlb.com/sporty-videos?playId=85e5e3e0-ba04-3a7e-8060-97424fac5bb5,Offspeed
FF,https://baseballsavant.mlb.com/sporty-videos?playId=1a92e515-7ec0-3912-8c16-c6a82d7cc2f3,Fastball
FF,https://baseballsavant.mlb.com/sporty-videos?playId=d4e8c6a1-dbb1-3deb-9f4f-cabbef9f2fe1,Fastball
CU,https://baseballsavant.mlb.com/sporty-videos?playId=e33d0787-0e80-30c8-900f-3975e5f21f89,Breaking
FF,https://baseballsavant.mlb.com/sporty-videos?playId=5d058edd-1574-3ad2-b413-8c040c62b8f6,Fastball
CH,https://baseballsavant.mlb.com/sporty-videos?playId=7d2ef15f-7f42-3bc5-aeb7-238521ea8f58,Offspeed
SL,https://baseballsavant.mlb.com/sporty-videos?playId=1b5815c9-36f8-3c7b-ac46-98c6e4510051,Breaking
SL,https://baseballsavant.mlb.com/sporty-videos?playId=7b05bbff-0f75-3f33-9a32-ebc990a4d201,Breaking
FF,https://baseballsavant.mlb.com/sporty-videos?playId=c201bc8d-9e67-306e-86b0-cf776962d234,Fastball
FF,https://baseballsavant.mlb.com/sporty-videos?playId=16980f7e-abeb-30de-8a77-5b8ea0d21030,Fastball
FF,https://baseballsavant.mlb.com/sporty-videos?playId=9f756a94-7e77-3fa1-9d2a-9156e9a52039,Fastball
CU,https://baseballsavant.mlb.com/sporty-videos?playId=4c17170a-94b3-3993-a21e-d7b0959b5c85,Breaking
FF,https://baseballsavant.mlb.com/sporty-videos?playId=0184dea6-a545-3aa8-a7bc-f16830784f2a,Fastball
